datetime,station_antwerp,station_paris,station_london
5292019800,,46.5,22
5292019900,,50.5,21
52920191000,,45.7,18
52920191100,,34.5,18
52920191200,,30.7,18
52920191300,,22,20
52920191400,,13.2,13
52920191500,,17.8,15
52920191600,,0,5
52920191700,,0,3
52920191800,,20.1,5
52920191900,,22.9,5
52920192000,,25.3,5
52920192100,,24.1,6
52920192200,,20.8,6
52920192300,,16.9,5
5302019000,,19,5
5302019100,,19.9,1
5302019200,,19.4,1
5302019300,7.5,12.4,0
5302019400,,9.4,0
5302019500,,10.6,0
5302019600,,10.4,0
5302019700,,12.2,0
5302019800,,13.3,2
5302019900,,18.3,3
53020191000,,16.7,5
53020191100,,15.1,9
53020191200,,13.8,13
53020191300,,14.9,17
53020191400,,14.2,20
53020191500,,16.1,22
53020191600,,14.9,22
53020191700,,13,27
53020191800,,12.8,30
53020191900,,20.4,28
53020192000,,22.1,28
53020192100,,22.9,27
53020192200,,21.9,27
53020192300,,26.9,23
5312019000,,27,23
5312019100,,29.6,18
5312019200,,27.2,18
5312019300,9,36.9,12
5312019400,,44.1,12
5312019500,,40.1,9
5312019600,,31.1,9
5312019700,,37.2,8
5312019800,,38.6,9
5312019900,,47.4,8
53120191000,,36.6,37
53120191100,,19.6,15
53120191200,,17.2,16
53120191300,,15.1,18
53120191400,,13.3,21
53120191500,,13.8,21
53120191600,,15.4,24
53120191700,,15.4,26
53120191800,,16.3,26
53120191900,,20.5,29
53120192000,,25.2,33
53120192100,,23.3,33
53120192200,,37,31
53120192300,,60.2,26
612019000,,68,26
612019100,,81.7,22
612019200,,84.7,22
612019300,52.5,74.8,16
612019400,,68.1,16
612019500,,,11
612019600,,,11
612019700,,,4
612019800,,44.6,2
612019900,,46.4,8
6120191000,,33.3,9
6120191100,,23.9,12
6120191200,,13.8,19
6120191300,,12.2,28
6120191400,,10.4,33
6120191500,,10.2,36
6120191600,,10,33
6120191700,,10.2,31
6120191800,,11.8,32
6120191900,,11.8,36
6120192000,,14.5,38
6120192100,,24.6,41
6120192200,,43.6,44
6120192300,,49.4,52
622019000,,48.1,52
622019100,,32.7,44
622019200,,38.1,44
622019300,,38.2,43
622019400,,39.2,43
622019500,,23.2,37
622019600,,24.5,37
622019700,,37.2,32
622019800,,24.1,32
622019900,,18.1,30
6220191000,,19.5,32
6220191100,,21,35
6220191200,,18.1,36
6220191300,,13.1,35
6220191400,,11.5,34
6220191500,,13,36
6220191600,,15,33
6220191700,,13.9,32
6220191800,,14.4,32
6220191900,,14.4,34
6220192000,,15.6,34
6220192100,,25.8,32
6220192200,,40.9,28
6220192300,,36.9,27
632019000,,27.6,27
632019100,,17.9,21
632019200,,15.7,21
632019300,,11.8,11
632019400,,11.7,11
632019500,,9.8,3
632019600,,11.4,3
632019700,,29,5
632019800,,44.1,6
632019900,,50,7
6320191000,,43.9,5
6320191100,,46,11
6320191200,,31.7,16
6320191300,,27.5,14
6320191400,,22.1,15
6320191500,,25.8,17
6320191600,,23.2,21
6320191700,,24.8,22
6320191800,,25.3,24
6320191900,,24.4,24
6320192000,,23.1,23
6320192100,,28.9,20
6320192200,,33,20
6320192300,,31.1,17
642019000,,30.5,17
642019100,,44.6,12
642019200,,52.4,12
642019300,,43.9,8
642019400,,35,8
642019500,,41.6,5
642019600,,28.8,5
642019700,,36.5,14
642019800,,47.7,18
642019900,,53.5,22
6420191000,,50.8,35
6420191100,,38.5,31
6420191200,,23.3,32
6420191300,,19.6,35
6420191400,,17.7,37
6420191500,,17.4,36
6420191600,,18.1,38
6420191700,,21.5,38
6420191800,,26.3,40
6420191900,,23.4,29
6420192000,,25.2,20
6420192100,,17,18
6420192200,,16.9,17
6420192300,,26.3,17
652019000,,33.5,17
652019100,,17.8,13
652019200,,15.7,13
652019300,15,10.8,4
652019400,,12.4,4
652019500,,16.2,6
652019600,,24.5,6
652019700,,39.2,2
652019800,,35.8,1
652019900,,36.9,0
6520191000,,35.3,0
6520191100,,36.8,5
6520191200,,42.1,7
6520191300,,59,9
6520191400,,47.2,14
6520191500,,33.6,20
6520191600,,38.3,20
6520191700,,53.5,19
6520191800,,37.9,19
6520191900,,48.8,19
6520192000,,40.8,19
6520192100,,37.8,19
6520192200,,37.5,19
6520192300,,33.7,17
662019000,,30.3,17
662019100,,31.8,8
662019200,,23.8,
662019300,,18,4
662019400,,15.2,4
662019500,,19.2,0
662019600,,28.4,0
662019700,,40.3,1
662019800,,40.5,3
662019900,,43.1,0
6620191000,,36,1
6620191100,,26,7
6620191200,,21.2,7
6620191300,,16.4,12
6620191400,,16.5,10
6620191500,,16,11
6620191600,,15.1,16
6620191700,,,22
6620191800,,,24
6620191900,,,24
6620192000,,,24
6620192100,,,22
6620192200,,,24
6620192300,,,21
672019000,,,21
672019100,,,23
672019200,,,23
672019300,,,27
672019400,,,27
672019500,,,23
672019600,,,23
672019700,,,25
672019800,,28.9,23
672019900,,23,24
6720191000,,29.3,25
6720191100,,34.5,23
6720191200,,32.1,25
6720191300,,26.7,27
6720191400,,17.8,20
6720191500,,15,15
6720191600,,13.1,15
6720191700,,15.6,21
6720191800,,19.5,24
6720191900,,19.5,27
6720192000,,19.1,35
6720192100,,19.9,36
6720192200,,19.4,35
6720192300,,16.3,
682019000,,14.7,33
682019100,,14.4,28
682019200,,11.3,
682019300,,9.6,7
682019400,,8.4,7
682019500,,9.8,3
682019600,,10.7,3
682019700,,14.1,2
682019800,,13.8,3
682019900,,14,4
6820191000,,13,2
6820191100,,11.7,3
6820191200,,10.3,4
6820191300,,10.4,8
6820191400,,9.2,10
6820191500,,11.1,13
6820191600,,10.3,17
6820191700,,11.7,19
6820191800,,14.1,20
6820191900,,14.8,20
6820192000,,22,19
6820192100,,,17
6820192200,,,16
6820192300,,36.7,
692019000,,34.8,20
692019100,,47,10
692019200,,55.9,10
692019300,10,41,7
692019400,,51.2,7
692019500,,51.5,1
692019600,,43,1
692019700,,42.2,5
692019800,,36.7,1
692019900,,32.7,0
6920191000,,30.2,0
6920191100,,25,2
6920191200,,16.6,5
6920191300,,14.6,8
6920191400,,14.6,13
6920191500,,10.2,17
6920191600,,7.9,19
6920191700,,7.2,24
6920191800,,10.3,26
6920191900,,13,20
6920192000,,19.5,21
6920192100,,30.6,21
6920192200,,33.2,22
6920192300,,30.9,
6102019000,,37.1,24
6102019100,,39.9,21
6102019200,,28.1,21
6102019300,18.5,19.3,25
6102019400,,17.8,25
6102019500,,18,24
6102019600,,13.7,24
6102019700,,21.3,24
6102019800,,26.7,22
6102019900,,23,27
61020191000,,16.9,34
61020191100,,18.5,45
61020191200,,14.1,41
61020191300,,12.2,45
61020191400,,11.7,51
61020191500,,9.6,40
61020191600,,9.5,40
61020191700,,11.7,31
61020191800,,15.1,28
61020191900,,19.1,26
61020192000,,18.4,25
61020192100,,22.3,26
61020192200,,22.6,24
61020192300,,23.5,23
6112019000,,24.8,23
6112019100,,24.1,15
6112019200,,19.6,15
6112019300,7.5,19.1,16
6112019400,,29.6,16
6112019500,,32.3,13
6112019600,,52.7,13
6112019700,,58.7,17
6112019800,,55.4,18
6112019900,,58,21
61120191000,,43.6,23
61120191100,,31.7,22
61120191200,,22.1,22
61120191300,,17.3,23
61120191400,,12.6,26
61120191500,,13.1,35
61120191600,,16.6,31
61120191700,,19.8,31
61120191800,,22.6,30
61120191900,,35.5,31
61120192000,,44.6,30
61120192100,,36.1,22
61120192200,,42.7,22
61120192300,,54.1,20
6122019000,,59.4,20
6122019100,,41.5,15
6122019200,,37.2,
6122019300,21,41.9,
6122019400,,34.7,11
6122019500,,36.3,9
6122019600,,44.9,9
6122019700,,42.7,12
6122019800,,38.4,17
6122019900,,44.4,20
61220191000,,35.5,22
61220191100,,26.7,25
61220191200,,0,35
61220191300,,0,33
61220191400,,15.4,33
61220191500,,17.9,35
61220191600,,20.3,42
61220191700,,16.8,45
61220191800,,23.6,43
61220191900,,24.2,45
61220192000,,25.3,33
61220192100,,23.4,41
61220192200,,29.2,43
61220192300,,29.3,
6132019000,,25.6,35
6132019100,,26.9,29
6132019200,,20,
6132019300,28.5,18.7,26
6132019400,,18,26
6132019500,,18.8,16
6132019600,,24.6,16
6132019700,,37,19
6132019800,,39.8,21
6132019900,,40.9,19
61320191000,,35.3,16
61320191100,,30.2,18
61320191200,,24.5,19
61320191300,,22.7,19
61320191400,,17.9,16
61320191500,,18.2,15
61320191600,,19.4,13
61320191700,,28.8,11
61320191800,,36.1,15
61320191900,,38.2,14
61320192000,,24,13
61320192100,,27.5,14
61320192200,,31.5,15
61320192300,,58.8,15
6142019000,,77.9,15
6142019100,,78.3,13
6142019200,,74.2,
6142019300,,68.1,8
6142019400,,66.6,8
6142019500,,48.5,6
6142019600,,37.9,6
6142019700,,49.3,13
6142019800,,64.3,11
6142019900,,51.5,11
61420191000,,34.3,14
61420191100,36.5,27.9,13
61420191200,,25.1,13
61420191300,,21.8,15
61420191400,,17.1,16
61420191500,,15.4,22
61420191600,,14.2,25
61420191700,,15.2,25
61420191800,,18.9,26
61420191900,,16.6,27
61420192000,,19,26
61420192100,,25,26
61420192200,,41.9,25
61420192300,,55,26
6152019000,,35.3,26
6152019100,,32.1,26
6152019200,,29.6,
6152019300,17.5,29,
6152019400,,33.9,
6152019500,,,10
6152019600,,,10
6152019700,,,13
6152019800,,35.8,13
6152019900,,24.1,8
61520191000,,17.6,8
61520191100,,14,12
61520191200,,12.1,14
61520191300,,11.1,13
61520191400,,9.4,18
61520191500,,9,17
61520191600,,9.6,18
61520191700,,10.5,18
61520191800,,10.7,20
61520191900,,11.1,22
61520192000,,14,22
61520192100,,14.2,21
61520192200,,15.2,20
61520192300,,17.2,19
6162019000,,20.1,19
6162019100,,22.6,15
6162019200,,16.5,15
6162019300,42.5,12.8,12
6162019400,,11.4,12
6162019500,,11.2,10
6162019600,,11.7,10
6162019700,,14,8
6162019800,,11.6,5
6162019900,,10.2,4
61620191000,,9.9,5
61620191100,,9.4,6
61620191200,,8.7,6
61620191300,,12.9,10
61620191400,,11.2,16
61620191500,,8.7,23
61620191600,,8.1,26
61620191700,,8.4,29
61620191800,,9.2,29
61620191900,,11.8,28
61620192000,,12.3,28
61620192100,,14.4,27
61620192200,,23.3,25
61620192300,,42.7,
6172019000,,56.6,23
6172019100,,67.3,17
6172019200,,69.3,17
6172019300,42,58.8,14
6172019400,35.5,53.1,14
6172019500,36,49.1,11
6172019600,39.5,45.7,11
6172019700,42.5,44.8,12
6172019800,43.5,52.3,13
6172019900,45,54.4,13
61720191000,41,51.6,11
61720191100,,30.4,11
61720191200,,16,11
61720191300,,15.2,
61720191400,,10.1,
61720191500,,9.6,
61720191600,,11.5,
61720191700,,13.1,
61720191800,,11.9,
61720191900,,14.9,
61720192000,,15.4,
61720192100,,15.2,
61720192200,,20.5,
61720192300,,38.3,
6182019000,,51,
6182019100,,73.3,
6182019200,,66.2,
6182019300,,60.1,
6182019400,,39.8,
6182019500,,45.5,
6182019600,,26.5,
6182019700,,33.8,
6182019800,,51.4,
6182019900,,52.6,
61820191000,,49.6,
61820192100,,15.3,
61820192200,,17,
61820192300,,23.1,
6192019000,,39.3,
61920191100,,27.3,
61920191200,,26.6,
62020191500,,19.4,
62020191600,,20.1,
62020191700,,19.3,
62020191800,,19,
62020191900,,23.2,
62020192000,,23.9,
62020192100,,25.3,
62020192200,,21.4,
62020192300,,24.9,
6212019000,,26.5,
6212019100,,21.8,
6212019200,,20,
